Status,mark,Stand_ID.m,lng,lat,pattern_state
dead,dead,17,20.11334955,49.18591866,state2
dead,dead,17,20.11334955,49.18591866,state2
dead,dead,17,20.11334955,49.18591866,state2
dead,dead,17,20.11794397,49.18626695,state2
dead,dead,17,20.11797648,49.1887438,state2
dead,dead,17,20.11496081,49.18980062,state2
dead,dead,17,20.11463131,49.19231476,state2
dead,dead,17,20.11788455,49.19113521,state1
dead,dead,17,20.11378306,49.19314456,state2
dead,dead,17,20.11804905,49.19390492,state2
dead,dead,17,20.11410677,49.19675371,state2
dead,dead,17,20.11410677,49.19675371,state2
dead,dead,18,19.56681586,48.90603502,state2
dead,dead,18,19.57382349,48.91130996,state1
dead,dead,18,19.57208913,48.91270783,state2
dead,dead,18,19.57599767,48.91408798,state2
dead,dead,18,19.57599767,48.91408798,state2
dead,dead,18,19.57599767,48.91408798,state2
dead,dead,19,19.66317549,48.94579666,state2
dead,dead,19,19.66744441,48.94627485,state2
dead,dead,19,19.66744441,48.94627485,state2
dead,dead,19,19.65760328,48.94673241,state2
dead,dead,19,19.65939538,48.94648588,state2
dead,dead,19,19.65939538,48.94648588,state2
dead,dead,19,19.65939538,48.94648588,state2
dead,dead,19,19.66487575,48.94702817,state2
dead,dead,19,19.66713896,48.94750309,state2
dead,dead,19,19.66911877,48.9474675,state2
dead,dead,19,19.66148209,48.94812707,state2
dead,dead,19,19.66309051,48.94793064,state2
dead,dead,19,19.66309051,48.94793064,state2
dead,dead,19,19.66476782,48.94819888,state2
dead,dead,19,19.66748363,48.94842253,state2
dead,dead,19,19.66996317,48.94865838,state2
dead,dead,5,24.78242905,45.64323723,state2
dead,dead,5,24.78242905,45.64323723,state2
dead,dead,5,24.78699598,45.64057328,state2
dead,dead,5,24.78699598,45.64057328,state2
dead,dead,5,24.78434633,45.64098774,state2
dead,dead,5,24.78434633,45.64098774,state2
dead,dead,5,24.78958944,45.63779155,state2
dead,dead,5,24.8039171,45.63601234,state2
dead,dead,5,24.79690576,45.63556997,state2
dead,dead,5,24.80259721,45.63433942,state2
dead,dead,5,24.80259721,45.63433942,state2
dead,dead,6,24.97045284,45.61915109,state1
dead,dead,6,24.97045284,45.61915109,state1
dead,dead,5,24.80067131,45.63264307,state1
dead,dead,5,24.80067131,45.63264307,state1
dead,dead,6,24.96689432,45.61993263,state2
dead,dead,5,24.80000787,45.63001388,state2
dead,dead,5,24.80000787,45.63001388,state2
dead,dead,5,24.80091908,45.63773743,state1
dead,dead,6,24.96897835,45.62240048,state2
dead,dead,6,24.96034524,45.62298572,state2
dead,dead,6,24.96421576,45.62350613,state2
dead,dead,6,24.9647447,45.62564419,state2
dead,dead,6,24.96706977,45.62437551,state2
dead,dead,6,24.9596409,45.62637456,state2
dead,dead,6,24.9596409,45.62637456,state2
dead,dead,6,24.96225916,45.6271864,state2
dead,dead,6,24.96787085,45.62766984,state1
dead,dead,7,24.71950078,45.63313677,state1
dead,dead,7,24.72210897,45.63331127,state1
dead,dead,7,24.72024817,45.63768685,state2
dead,dead,7,24.72225298,45.63745845,state1
dead,dead,7,24.71957561,45.63988404,state2
dead,dead,7,24.72459319,45.64082436,state2
dead,dead,7,24.72459319,45.64082436,state2
dead,dead,7,24.71866167,45.64495466,state2
dead,dead,7,24.72574104,45.64601451,state2
